artist,date,year,auction house,seller,Lot Number,Artwork Title,Measurements,purchaser,pounds,shillings,pence
"ROBERTS, David",5/9/1891,1891,Christie's,Andrew G. Kurtz,,Mrs. Hartley and Child. Copy by F. Nicholson,,,,,
"OSTADE, Adriaen van",5/12/1846,1846,Phillips,Mons. Duval,6,Mrs. Hartley and Child. From Thomond sale,,Agnew,2520,0,0
"POYNTER, Sir Edward",6/10/09,1909,Christie's,Sir J,,Mrs. Hartley as a Bacchante with Infant on Shoulder,,Col. Howard,304,10,0
"PETITOT, Jean",5/16/04,1904,Christie's,,,Mrs. Hartley as Hermione. A Statue,,Withdrawn,,,
"PETITOT, Jean",5/16/04,1904,Christie's,,,Mrs. Hartley as Jane Shore,,Ellison,18,7,6
"PRINSEP, Valentine",3/28/1893,1893,Christie's,,,Mrs. Hay,,Shaw,304,10,0
HOOK. James Clarke,5/24/1884,1884,Christie's,Charles Skipper,,Mrs. Hay,,Duveen,2274,0,0
HOOK. James Clarke,5/29/1880,1880,Christie's,George Moore,,Mrs. Hay. Illustrated.49x40,,Bristow,3360,0,0
"LEIGHTON, Lord (Sir Frederick)",6/6/1891,1891,Christie's,Charles P. Matthews,6,Mrs. Heaton,2 x 56],Mace,241,10,0
"LINNELL, John",5/20/1882,1882,Christie's,McLean,,Mrs. Helen Colvin,,Colnaghi,2152,10,0
"MILLAIS, Sir John Everett",5/10/1878,1878,Christie's,John Heugh,6,Mrs. Hemming,,Notley,26,5,0
"LINNELL, John",4/28/1888,1888,Christie's,,,Mrs. Henry Colburn,,,57,15,0
"LINNELL, John",4/28/1883,1883,Christie's,Mrs. B. Gibbons,,Mrs. Heron. Illustrated.,,Agnew,7930,0,0
MASSINI,6/3/1893,1893,Christie's,Lord Revelstoke,6,Mrs. Higginson and Son. Pastel.,,A. Wertheimer,304,10,0
"LINNELL, John",4/25/1885,1885,Christie's,George Schlotel,,Mrs. Higginson and Son. Pastel.,,A. Wertheimer,304,10,0
"NEWTON, Gilbert Stuart",4/27/1860,1860,Christie's,William Wells,6,Mrs. Hilare Barton. Illustrated,9! x 24},Agnew,168,0,0
"LANDSEER, Sir Edwin",11/22/1865,1865,Christie's,,,"Mrs. Hill, Cloak edged with Fur. On panel",,Gooden,283,10,0
"LEE, Frederick Richard",7/9/1887,1887,Christie's,A Nobleman,,Mrs. Hill. Head only. After Sir Joshua Bought in,,,1,11,6
"MILLAIS, Sir John Everett",5/1/1897,1897,Christie's,Sir J,,Mrs. Hillersdon in White with Blue Cloak,0 x 25,Wallis,997,10,0
"PADUANINO, Padovanino 11 (Alessandro Varotari)",4/23/1807,1807,Peter Coxe,Edward Coxe,6,Mrs. Hoare and Child,,"Holmes, for Lord Hertford",2677,10,0
"HUDSON, Thomas",3/17/1855,1855,Christie's,Duke of Argyll,6,Mrs. Hodges,,Cox,43,1,0
REMBRANDT VAN RHYN,6/30/1894,1894,Christie's,Adrian Hope,6,Mrs. Hodges,0 x 25,Farr,630,0,0
"MIERIS, William",8/22/1842,1842,Christie's,Daniel Wade Acraman,6,Mrs. Hodges in Yellow,0x25,A.Smith,546,0,0
"MANTEGNA, Andrea",7/5/12,1912,Christie's,J.E.Taylor,6,Mrs. Hogarth. Engraved,,Agnew,351,15,0
"JORDANO, Luca (see GIORDANO)",5/19/1798,1798,"Coxe, Burrell and Foster",Mr. Bryan,6,"Mrs. Hogarth. Manchester, 1S57",,Colnaghi,378,0,0
"MIERIS, William",7/12/1845,1845,Christie's,E.W.Lake,6,Mrs. Holmes and Daughter,,,1,1,0
"OSTADE, Isaac",5/16/1857,1857,Christie's,Davis Mcintosh,6,Mrs. Home. Illustrated,0x40,Shepherd,2415,0,0
"MORLAND, George",2/3/12,1912,Christie's,,,"Mrs. Hope in White, and Cap",,Kennedy,68,15,0
"LELY, Sir Peter",3/23/1781,1781,Christie and Ansell,From Abroad,6,Mrs. Hoppner,95X24I,C. Davis,9765,0,0
"REYNOLDS, Sir Joshua",7/4/1874,1874,Christie's,Miss Emily Palmer and R. N. Howard,6,Mrs. Hoppner,,Gutekunst,115,10,0
"IBBETSON, Julius Caesar",2/13/04,1904,Christie's,,,Mrs. Hoppner as Eliza,,Agnew,829,10,0
"JANSSEN, or JOHNSON, Cornelius",5/27/1882,1882,Christie's,George Smith,,Mrs. Hopwood and Family,,Knoedler,756,0,0
"HAYDON, Benjamin Robert",4/21/1852,1852,Winstanley,,,Mrs. Howard(neeArcher),,Gribble,504,0,0
"NIEMANN, Edmund John",5/21/1881,1881,Christie's,Henry Lovatt,6,Mrs. Huddesford. Engraved by H. Meyer,,Anderson,4,15,0
"RUBENS, Sir Peter Paul",5/15/1841,1841,Christie's,Lady Stuart,6,Mrs. Hughes,0x25,McLean,157,10,0
"HORSLEY, John Callcott",6/1/1872,1872,Christie's,J. C. Davis,,Mrs. Hughes,,Dyer,504,0,0
"LINGELBACH, Jan",3/26/1795,1795,Skinner,C. A. Calonne,6,Mrs. Huskisson,9 x 24,Colnaghi,1995,0,0
"L'HERMITTE, Leon Augustin",5/15/11,1911,Christie's,Isaac Smith,6,Mrs. Inchbald,0x25,Agnew,997,10,0
"REYNOLDS, Sir Joshua",6/18/1870,1870,Christie's,L. Huth,6,Mrs. Inchbald,,,48,6,0
"LIOTARD, John Stephe",4/15/1774,1774,Mr. Christie,M. Liotard,6,Mrs. Inchbald,4x19!,Agnew,1050,0,0
"PALAMEDES, Anthony",4/7/13,1913,Christie's,J.R.Holland,6,Mrs. Inchbald,,Exmouth,11,11,0
"NETSCHER, Gaspar",3/26/1795,1795,Skinner,C. A/Calonne,6,Mrs. Inchbald,,,,,
"LANDSEER, Charles",4/16/1880,1880,Christie's,,,Mrs. Inchbald,,Ellis,28,7,0
"NETSCHER, Gaspar",5/19/1826,1826,Phillips,Count Pourtales,6,Mrs. Inchbald with Letter,,Lord Normanton,53,11,0
"NEUHUYS, Albert",6/11/09,1909,Christie's,,,Mrs. Inchbald. Afterwards at Lady Blessington sale in 1849 to Birch for,,,48,6,0
"NEUHUYS, Albert",6/28/12,1912,Christie's,,,Mrs. James Fletcher and James Fletcher. A pair,,Wigzell,294,0,0
"NATTIER, Jean Marc",5/21/1892,1892,Christie's,Earl of Egremont,6,Mrs. Jarman,,,,,
"PLIMER, Andrew",2/13/1885,1885,Christie's,Willson and Son,,Mrs. Jarman in White,,Blackbourn,441,0,0
"ROMNEY, George",4/13/1878,1878,Christie's,F. Haselfoot,,Mrs. Jean McNeill.48x40 ),,,,,
"REYNOLDS, Sir Joshua",5/9/1896,1896,Christie's,Lord Eversley,6,Mrs. Jenny Dering,,Wertheimer,435,15,0
PALMA VECCHIO (called Old Palma),6/16/11,1911,Christie's,Sir T. De la Rue,6,Mrs. Jerningham,4x17-!- A.,Wertheimer,262,10,0
"METZU, Gabriel",4/14/1810,1810,Mr. Christie,Walsh Porter,6,Mrs. Jodrell. Oval,,Samuel,451,10,0
"HEEMSKIRK, Egbert",6/17/1882,1882,Christie's,,,Mrs. John Balfour,,Balfour,1352,10,0
"RAEBURN, Sir Henry",5/7/1877,1877,Christie's,,,Mrs. John Cay,,Agnew,2100,0,0
"OPIE, John",6/6/1807,1807,Peter Coxe,"J. Opie, R.A",6,Mrs. John Holroyd,9 x 40,Roe,71,8,0
"ROMNEY, George",6/16/1894,1894,Christie's,,,Mrs. John Phillips.28x24,,A. Wertheimer,294,0,0
"KAUFFMANN, Angelica",5/26/06,1906,Christie's,,,Mrs. Johnston,5x27^,Wyatt,1575,0,0
"REYNOLDS, Sir Joshua",6/14/1902,1902,Christie's,,,Mrs. Johnston.34-^x26},,Knoedler,5775,0,0
"HOPPNER, John",5/9/1896,1896,Christie's,,,Mrs. Jordan,,Bought in,4,0,0
"JANSSEN, or JOHNSON, Cornelius",5/11/11,1911,Christie's,Arthur Kay,6,Mrs. Jordan as Rosalind,5^ x 27I,Agnew,1155,0,0
"ROMNEY, George",6/14/1879,1879,Christie's,M. H,,Mrs. Jordan resting on Elbow. Illus,,Agnew,5040,0,0
"REYNOLDS, Sir Joshua",5/19/1821,1821,Mr. Christie,,,Mrs. Jordan when Young,,Bought in,5,0,0
"REYNOLDS, Sir Joshua",3/5/1853,1853,Christie's,Stanger,6,Mrs. Jordan. Oval,,,,,
"REYNOLDS, Sir Joshua",5/26/1821,1821,Mr. Christie,,,Mrs. Jordan.52x41,,Agnew,735,0,0
"ROMNEY, George",5/9/1834,1834,Christie's,Rev. John Romney,6,Mrs. Joseph Franks,,Davis,157,10,0
"ROMNEY, George",7/22/1882,1882,Christie's,Henry Philip Cockburn.(322P,,Mrs. Joseph Musgrave,,Tooth,1155,0,0
"ROMNEY, George",6/28/1890,1890,Christie's,,,Mrs. Judith Jinks,5x27,McLean,104,16,0
"LAWRENCE, Sir Thomas",5/30/12,1912,Christie's,,,Mrs. Kerr with Letter.30x25,,Frere,336,0,0
"LAWRENCE, Sir Thomas",2/25/05,1905,Christie's,,,Mrs. Kerr.30x25,,Agnew,525,0,0
"ROMNEY, George",4/27/1807,1807,Mr. Christie,G. Romney,,Mrs. Knight,,,,,
"ROMNEY, George",6/25/04,1904,Christie's,Thomas Drummond Gilbert,6,Mrs. Knight (Singer). Whole-length,,,,,
"POUSSIN, Nicholas",6/9/1790,1790,Denew and Dawson,Gentleman,6,Mrs. Kynnersley,9^x24!,Blythe,1785,0,0
"ROMNEY, George",7/15/1899,1899,Christie's,,,Mrs. Lampson and Children,,Withdrawn,,,
"HALS, Frank",4/7/1876,1876,Christie's,William Rixon,6,Mrs. Lane in large Black Hat,5 x 26!,Sulley,451,10,0
"ROMNEY, George",6/25/1898,1898,Christie's,,,Mrs. Le Blanc Smith,,Dyer,136,10,0
"ROMNEY, George",7/11/1903,1903,Christie's,George Gurney,,Mrs. Lee Harvey and Daughter,,A. Wertheimer,2310,0,0
"REYNOLDS, Sir Joshua",3/1/1873,1873,Christie's,,,Mrs. Leith (Elizabeth Dalrymple).27x 34!,,Lesser,882,0,0
"KNELLER, Sir Godfrey",2/27/1760,1760,Langford's,John Ellys,,Mrs. Liddell.29x24,,Agnew,1260,0,0
"REYNOLDS, Sir Joshua",6/18/1881,1881,Christie's,Earl of Normanton,6,Mrs. Lloyd,,Parsons,19,8,6
"ROSSETTI, Dante Gabriel",6/3/1899,1899,Christie's,John Bibby,6,Mrs. Lloyd. Copy,,Wertheimer,39,18,0
"REYNOLDS, Sir Joshua",5/2/1818,1818,Mr. Christie,Mr. Rising,6,Mrs. Lloyd. Study,,Hawkins,6,15,0
"REYNOLDS, Sir Joshua",2/22/1896,1896,Christie's,,,Mrs. Lloyd. Study. Drawing,,Sabin,42,0,0
"REYNOLDS, Sir Joshua",2/20/09,1909,Christie's,,,Mrs. Locke (Miss Noel),,Fischof,2362,10,0
"REYNOLDS, Sir Joshua",5/21/1898,1898,Christie's,Joseph Ruston,6,Mrs. Locke seated in Red Chair,0x25,Beadel,1417,10,0
"REYNOLDS, Sir Joshua",2/21/1903,1903,Christie's,,,Mrs. Lovel Gwatkin,,White,100,16,0
"REYNOLDS, Sir Joshua",5/28/1903,1903,Christie's,,,Mrs. Lucy Davidson.,,A. Wertheimer,3356,0,0
"REYNOLDS, Sir Joshua",6/6/05,1905,Christie's,,,Mrs. Lushington as a Child,,Cohen,35,14,0
"REYNOLDS, Sir Joshua",5/19/1821,1821,Mr. Christie,Lady Thomond,6,Mrs. Lyne and Child (Mrs. Seaforth),,Bought in,472,10,0
"REYNOLDS, Sir Joshua",4/22/1872,1872,Phillips,William W. Pearce,6,Mrs. Macdonald,9! x 24^,Gooden,441,0,0
"REYNOLDS, Sir Joshua",6/27/1901,1901,Robinson and Fisher,,,Mrs. Machonichie.50x40,,Lane,262,10,0
"REYNOLDS, Sir Joshua",6/27/1901,1901,Robinson and Fisher,,,Mrs. Machonochie and Child.51x40,,,262,10,0
"REYNOLDS, Sir Joshua",2/10/1866,1866,Christie's,William Goldsmith,6,Mrs. Manning and Daughter,0x40,Agnew,4200,0,0
"REYNOLDS, Sir Joshua",6/20/1874,1874,Christie's,W. Angerstein,6,Mrs. Mantelini,5 x 27!,Renton,336,0,0
PLATES AND STOCKS,5/2/1848,1848,Christie's,,,Mrs. Mantolieu,,Gregory,304,10,0
"LAWRENCE, Sir Thomas",5/7/1898,1898,Christie's,,,Mrs. Margaret Mair,,Pearson,1942,10,0
"OCTERVELT, Jan",5/6/1893,1893,Christie's,Mrs. Young,6,Mrs. Maria Hughes,9 x 24,Mills,336,0,0
"LAWRENCE, Sir Thomas",2/10/1900,1900,Christie's,,,Mrs. Mark Smithson,,,,,
"MURRAY, Thomas",3/31/1726,1726,Cock,Mr. Murray,,Mrs. Martin,,Adams,2,0,0
"RUSSELL, John",5/14/08,1908,Robinson and Fisher,Mrs. M. E. Adams,,Mrs. Martin,,Bought in,2,18,0
"REYNOLDS, Sir Joshua",4/20/1861,1861,Christie's,John Fairrie,6,Mrs. Martin of Plymouth,,Bought in,99,15,0
"LAWRENCE, Sir Thomas",2/10/12,1912,Christie's,L. Lesser,6,Mrs. Martin of Plymouth,9x24,Agnew,69,6,0
"HOPPNER, John",3/5/1902,1902,Foster's,Edward Twopeny,6,Mrs. Martin of Plymouth.,,C. Davis,110,5,0
"ROSSETTI, Dante Gabriel",5/28/1892,1892,Christie's,F. R. Leyland,6,Mrs. Martin of Plymouth.,,Fores,63,0,0
"REYNOLDS, Sir Joshua",5/9/1846,1846,Christie's,"Thomas Phillips, R.A",,"Mrs. Martin, friend of Artist",,,2,2,0
"LAWRENCE, Sir Thomas",2/17/06,1906,Christie's,,,Mrs. Mary Kendal,,Bought in,3,3,0
"LAWRENCE, Sir Thomas",12/12/1896,1896,Christie's,Sir Robert Fitzroy,6,Mrs. Mary Robinson,,Permain,514,10,0
"LANDSEER, Sir Edwin",5/15/1849,1849,Phillips,,,Mrs. Mary Salisbury,,Lloyd,57,15,0
"REYNOLDS, Sir Joshua",11/28/1879,1879,Christie's,Charles Heath Warner,6,Mrs. Mathew,2 x 56,Agnew,4620,0,0
"METZU, Gabriel",5/19/1900,1900,Christie's,Madame de Falbe,6,Mrs. Mathew and Dog,2 x 56,Tooth,4200,0,0
"HOPPNER, John",11/10/05,1905,"Knight, F. & R.",,,Mrs. Mathew with Spaniel. Whole-length,,Bought in,75,12,0
"NETSCHER, Gaspar",4/29/1899,1899,Christie's,J. L. Mieville,6,Mrs. Mathew. Whole-length,1x57,Graves,945,0,0
"ROMNEY, George",5/22/08,1908,Christie's,Humphrey Roberts,6,Mrs. Mathews with a Spaniel. Whole-length,,Fielder,49,7,0
"JANSSEN, or JOHNSON, Cornelius",3/5/04,1904,Christie's,Townshend Heirlooms,6,Mrs. Maxwell. Full-length,,#NAME?,,,
"NORTHCOTE, James",7/4/1836,1836,Foster & Son,"J. Northcote, R.A",6,Mrs. Mayne Galway. Sketch,,Norton,43,1,0
"HOPPNER, John",5/11/1896,1896,Christie's,C. H. T. Hawkins,6,Mrs. Mayne Galway. Sketch,,Bought in,26,5,0
"RUSSELL, John",6/10/1899,1899,Christie's,,,Mrs. Mercer.26x22,,Wallis,178,0,0
"REYNOLDS, Sir Joshua",4/7/1902,1902,Christie's,,,Mrs. Merry (ne Brunton),,Smith,9,19,6
"ROMNEY, George",5/8/1897,1897,Christie's,,,Mrs. Methuen. Illustrated,,Colnaghi,3570,0,0
"RAEBURN, Sir Henry",3/31/06,1906,Christie's,E. M. Denny,6,Mrs. Meyrick,,Owen,11,0,6
"LANDSEER, Sir Edwin",5/7/1892,1892,Christie's,Lord Cheylesmore,6,Mrs. Meyrick and Gloves,,Smith,55,13,0
"MORLAND, George",5/29/1897,1897,Christie's,Sir John Pender,6,Mrs. Meyrick in White,,3. Colnaghi,94,10,0
"ROMNEY, George",6/4/04,1904,Christie's,J. Orrock,,Mrs. Michel Seated,,Agnew,2100,0,0
"REYNOLDS, Sir Joshua",5/14/04,1904,Christie's,,,Mrs. Mingay. Illustrated,,Mauvers,6510,0,0
"POUSSIN, Gasper (Gaspard Dughet)",6/8/1814,1814,Hermon,French Emigrant,6,Mrs. Montague,,Rutley,12,1,6
"HIGHMORE, Joseph",12/13/12,1912,Christie's,,,Mrs. Montague,,Weston,4,8,0
"POUSSIN, Gasper (Gaspard Dughet)",3/12/1741,1741,Cock,Earl of Oxford,6,"Mrs. Montague seated, Head on Hand",,Morley,35,3,6
"ROSA, Salvator",11/16/1763,1763,Prestage,Earl Waldegrave,6,Mrs. Montague. Genuine,,Bought in,20,9,6
"RUBENS, Sir Peter Paul",6/2/1814,1814,H. Phillips,A. Delahante (not his),6,Mrs. Montgomery,,Agnew,71,8,0
"SARGENT, John Singer",12/16/05,1905,Christie's,Sir Henry Irving,,Mrs. Moody. Half-length,,Graves,189,0,0
"RUSSELL, John",6/25/04,1904,Christie's,Miss G. L. Murray,,Mrs. Moody.49x39,,Mrs. Gardner,420,0,0
"HOGARTH, William",6/28/1884,1884,Christie's,Leigh Court (Sir P. Miles),,Mrs. Mordaunt,,Cremetti,378,0,0
"LEE, Frederick Richard",10/20/1854,1854,Winstanley,F. W. Hooper,6,Mrs. Morley,9x24,Agnew,2935,0,0
"PATEL, Pierre and Pierre Antoine",3/31/1781,1781,Christie and Ansell,Earl of Harrington,6,Mrs. Morris,,White,3622,10,0
"NASMYTH, Patrick",8/24/1854,1854,Winstanley,Ralph Samuel,6,Mrs. Morris. Chalk,6x30,,220,10,0
"PYNAKER, Adam",2/14/1801,1801,Mr. Christie,John Woodhouse,6,Mrs. MorrisHead-dress of Feathers. Small copy,,,,,
"RUYSDAEL, Jacob",5/8/1824,1824,Christie's,Ralph Bernal,6,Mrs. Moses Franks,,Davis,157,10,0
"REYNOLDS, Sir Joshua",6/6/07,1907,Robinson and Fisher,,,Mrs. Mostyn,,Smith,18,18,0
"ORIZONTE, Van Bloemend",8/10/1842,1842,Robins,Shugborough Hall,6,Mrs. Munro in White,9 x 24,Bell,199,10,0
"HOPPNER, John",12/10/10,1910,Christie's,,,Mrs. Musters,,,1,10,0
"ROMNEY, George",5/21/1892,1892,Christie's,Earl of Egremont,,Mrs. Musters in Brown Dress. Oval,,,15,15,0
"POUSSIN, Gasper (Gaspard Dughet)",5/16/1818,1818,Hickman,"Gent, from Devonshire",6,Mrs. Musters. Thomond collection,,Waters,25,4,0
"RUSSELL, John",5/3/1902,1902,Christie's,,,Mrs. Musters. Very elegant,,,,,
"REYNOLDS, Sir Joshua",12/19/1891,1891,Christie's,,,Mrs. Musters. Whole-length,,Pusey,32,0,6
"ROMNEY, George",6/15/1901,1901,Christie's,,,Mrs. Nelly O'Brien,,Sir W. W. Wynn,21,0,0
REMBRANDT VAN RHYN,5/1/1829,1829,Phillips,Thos. Emmerson,6,Mrs. Nesbitt in White. Sketch,,C. W.,71,8,0
"RUBENS, Sir Peter Paul",6/12/1841,1841,Christie's,Marquess Camden,6,Mrs. Nesbitt with a Dove. Oval,,Lord Hertford,630,0,0
"RUBENS, Sir Peter Paul",3/25/1854,1854,Christie's,D. Gardner,6,Mrs. Nesbitt. Whole-length,,Earl of Egremont,31,10,0
"HOPPNER, John",12/19/08,1908,Christie's,,,Mrs. Newbery. Illustrated.,,Blaker,5355,0,0
"REYNOLDS, Sir Joshua",1/24/1903,1903,Christie's,,,Mrs. Newbigging.29x24,,C. Davis,3145,0,0
"MEISSONNIER, Jean Louis Ernest",6/15/1891,1891,Christie's,Col. McMurdo,6,Mrs. Nollekens,,,,,
"OSTADE, Adriaen van",2/6/1897,1897,Christie's,Baron de Hirsch,6,Mrs. O'Hara,9x24}-,Soames,262,10,0
"LEIGHTON, Lord (Sir Frederick)",6/3/1893,1893,Christie's,J. Stewart Hodgson,6,Mrs. Oldfield,,,10,18,6
"MILLAIS, Sir John Everett",6/13/1896,1896,Christie's,Sir Julian Goldsmid,6,Mrs. Oliver. Illustrated,6x27,Gooden,1322,10,0
"LELY, Sir Peter",12/11/09,1909,Christie's,,,Mrs. Oliver. Illustrated.,,Agnew,3255,0,0
"HONDEKOETER, Melchior",5/31/1794,1794,Greenwood,Sir L. Dundas,6,Mrs. Orby Hunter,,Pennell,105,0,0
"RATHBONE, John",3/12/1790,1790,Greenwood,Gentleman,6,Mrs. Orby Hunter,0x25. Goodricke collection,Williams,105,0,0
"ROMNEY, George",6/13/1896,1896,Christie's,Sir Julian Goldsmid,,Mrs. Orby Hunter and her Son,,,10,10,0
"ROMNEY, George",6/15/1895,1895,Christie's,James Price,,Mrs. Oswald,,Agnew,210,0,0
"POGGI, Cesare",4/21/1791,1791,Mr. Christie,Mr. Poggi,6,Mrs. Oswald. Illustrated,9! x 24^,C. Davis,3780,0,0
"REYNOLDS, Sir Joshua",6/3/05,1905,Christie's,Lord Tweedmouth,6,Mrs. Otway and Child,7 x 44,Agnew,1260,0,0
"REYNOLDS, Sir Joshua",6/14/1875,1875,Christie's,Scotland,6,Mrs. Page and Mrs. Ford,,Sir W. Paxton,24,3,0
"REYNOLDS, Sir Joshua",1/27/12,1912,Christie's,,,Mrs. Patherick in Blue,,Wallis,966,0,0
"RUSSELL, John",2/23/07,1907,Christie's,,,Mrs. Patrick Franfurd-Bruce,,Best,609,0,0
"HOLBEIN, Hans, the Younger",1791,1791,Private Sale,"R. Cosway, R.A",6,Mrs. Payne Galway and Son,0 x 25,Agnew,4305,0,0
"RUSSELL, John",2/23/07,1907,Christie's,,,Mrs. Phillip King{neeEmma Booty),4 x 18 Colnaghi,,141,15,0
"LAWRENCE, Sir Thomas",5/25/1846,1846,Christie's,Hinxman,6,Mrs. Piozzi,,Roberts,110,5,0
"RAPHAEL, Sanzio",5/24/1838,1838,Christie's,Lord Northwick,6,"Mrs. Piozzi with Miniature, Arm on Turban",,Bought in,8,8,0
"ROMNEY, George",4/27/1807,1807,Mr. Christie,,,Mrs. Pitcairn.35x26,,Wallis,409,10,0
"HOPPNER, John",7/12/12,1912,Christie's,,,"Mrs. Pope, Actress",,,109,4,0
"MULLER, William James",6/8/1872,1872,Christie's,McCornish,6,Mrs. Pownall as Hebe,771,Shepherd,99,15,0
"OAKES, John Wright",3/23/1861,1861,Christie's,L. V. Flatou,6,Mrs. Pownall as Hebe.,,Bought in,630,0,0
"PORDENONE, Giovanni Antonio Licinio, called",3/25/1795,1795,Skinner,C. A. Calonne,6,Mrs. Pownall as Hebe.,,Bought in,315,0,0
"ROMNEY, George",6/25/04,1904,Christie's,,,Mrs. Pritchard,,,4,14,6
"RAEBURN, Sir Henry",5/23/1903,1903,Christie's,,,Mrs. Pritchard,,,,,
"RAEBURN, Sir Henry",6/9/11,1911,Paris,Maurice Kann,,Mrs. Pritchard,,Wertheimer,787,0,0
"MABUSE, Jan (called Jan GOSSAERT)",5/21/1898,1898,Christie's,Joseph Ruston,6,Mrs. Quarrington as St. Agnes,,Bought in,231,0,0
"REYNOLDS, Sir Joshua",3/2/1889,1889,Christie's,,,Mrs. Quarrington as St. Agnes. Sketch,,Wallis,168,0,0
"OPIE, John",6/14/07,1907,Christie's,,,Mrs. Rabby in Black,,Tooth,68,5,0
"LONGHI, Pietro",2/10/12,1912,Christie's,L. Lesser,6,Mrs. Rachel Harrington,,McLean,115,10,0
"RAEBURN, Sir Henry",7/12/12,1912,Christie's,J. Holms,,Mrs. Rachel Harrington.29x24,,Falke,336,0,0
"ROMANO, Gulio",6/1/1813,1813,Peter Coxe,John W. Willett,6,Mrs. Raikes,786. Illustrated.,Freeman,6300,0,0
"PERUGINO, Pietro",5/3/1845,1845,Christie's,Sir G. Hayter,6,Mrs. Raikes. Pastel,,Agnew,441,0,0
"RAEBURN, Sir Henry",4/25/1903,1903,Christie's,,,Mrs. Raikes. Pastel.,,Agnew,441,0,0
"RAEBURN, Sir Henry",12/12/1903,1903,Christie's,R. F. Murchison,,Mrs. Rainsford in Hat and White Feather,,Stuart Wortley,57,15,0
"REYNOLDS, Sir Joshua",12/13/12,1912,Christie's,,,Mrs. Rannicar,,Lloyd,68,5,0
"LIPPI, Filippo",5/1/1897,1897,Christie's,"George Richmond, R.A",6,Mrs. Read holding Guitar,6 x 29,Benjamin,84,0,0
"REYNOLDS, Sir Joshua",5/3/1902,1902,Christie's,,,Mrs. Rees in White and Lace,,Farr,55,14,0
"REYNOLDS, Sir Joshua",7/13/1901,1901,Christie's,,,Mrs. Renny Strachan.30x25,,Colnaghi,892,10,0
"REYNOLDS, Sir Joshua",6/15/1838,1838,Christie's,F. Rochard,,Mrs. Robertson Williamson.94x 58J,,Duveen,33315,0,0
"REYNOLDS, Sir Joshua",11/26/06,1906,Christie's,,,Mrs. Robertson. Illustrated,,Colnaghi,1310,0,0
"MARATTI, Carlo",4/23/1807,1807,Peter Coxe,Edward Coxe,6,Mrs. Robinson,,Parsons,5,15,0
"PRIVATALI, Andrea",6/6/1874,1874,Christie's,Alexander Barker,6,Mrs. Robinson,0x16,Tucker,23,2,0
"MOLA, Pietro Francesco",5/19/1821,1821,Mr. Christie,Lady Thomond,6,Mrs. Robinson,,Bought in,10,10,0
KETTLE Tilly,2/4/1792,1792,Mr. Christie,Man of Fashion,6,Mrs. Robinson,,Cooling,10,10,0
"MIERIS, William",5/9/1840,1840,Christie's,Sir Simon H. Clarke,6,Mrs. Robinson,2 x 23,Leggatt,42,0,0
"MORLAND, George",7/3/1833,1833,Christie's,Countess de Grey,6,Mrs. Robinson,,,,,
"REYNOLDS, Sir Joshua",6/28/1890,1890,Christie's,Storer Collection,6,Mrs. Robinson,,Ellis,52,10,0
"MORTON, Andrew",6/25/1900,1900,Christie's,"Marianna, Lady Hamilton",6,Mrs. Robinson,,Spence,6,0,0
"PICKERSGILL, Henry William",7/17/1875,1875,Christie's,,,Mrs. Robinson,,Agnew,945,0,0
"REYNOLDS, Sir Joshua",5/27/1873,1873,Christie's,,,Mrs. Robinson,,Chittleburgh,5,0,0
"RUBENS, Sir Peter Paul",3/5/04,1904,Christie's,Townshend Heirlooms,6,Mrs. Robinson as Perdita,,Anthony,15,0,0
"REYNOLDS, Sir Joshua",6/18/1870,1870,Christie's,,,Mrs. Robinson as Perdita,,Gooden and Fox,378,0,0
"ROMNEY, George",5/6/05,1905,Christie's,,,Mrs. Robinson as Perdita,,M. Colnaghi,399,0,0
"ROMNEY, George",2/25/05,1905,Christie's,,,Mrs. Robinson as Perdita,,,0,16,0
"RUSSELL, John",6/22/1901,1901,Christie's,,,Mrs. Robinson as Perdita,,Leggatt,157,10,0
HOOK. James Clarke,5/13/05,1905,Christie's,Charles Neck,6,Mrs. Robinson in Hat and Feather,,Cooper,262,10,0
"REYNOLDS, Sir Joshua",2/18/1886,1886,Christie's,Col. Palmer,,Mrs. Robinson in Profile. Copy Bought in,,Bought in,2,2,0
"HOPPNER, John",7/12/12,1912,Christie's,,,Mrs. Robinson in White holding a Book,,Lowther,157,10,0
"PROUT, Samuel",4/22/1899,1899,Christie's,Charles Andrew,6,Mrs. Robinson in White with Pink Bow. Illustrated,0 x 25,C. Davis,504,0,0
"PERUGINO, Pietro",3/12/1795,1795,Mr. Christie,Sir J. Reynolds,6,"Mrs. Robinson, Black Hat and Feather",7x14,Greenfield,11,0,6
"HACKAERT, John",5/13/1846,1846,Phillips,Mons. Duval,6,Mrs. Robinson.,,Permain,8,18,6
"HOLBEIN, Hans, the Younger",2/19/1728,1728,Cooper's,Thomas Coke,6,Mrs. Robinson. After Reynolds,,,,,
"RAEBURN, Sir Henry",4/6/1889,1889,Christie's,,,Mrs. Robinson. Copy Bought in,,Bought in,4,0,0
"RAEBURN, Sir Henry",7/12/12,1912,Christie's,,,Mrs. Robinson. Copy by Patterson,,Bought in,2,5,0
PLATES AND STOCKS,5/2/1848,1848,Christie's,,,Mrs. Robinson. Copy by Thompson,,,1,2,0
